date,title
2023/09/22  00:00:00,Funding woes continue to plague UN Palestine refugee agency
2023/09/22  00:00:00,Diplomatic achievement: Congo to open embassy in Jerusalem
2023/09/22  00:00:00,Diplomatic achievement: Congo to open embassy in Jerusalem
2023/09/22  00:00:00,Ukraine Military Situation Report: Kyiv Experiences Incremental Progress  Analysis
2023/09/22  00:00:00,"European Council President Says UN System 'Sclerotic, Hobbled'"
2023/09/22  00:00:00,Zelenskys mixed reception in Washington may be a taste of political storm to come
2023/09/22  00:00:00,Canada's Participation In The World's Largest Radio Telescope Means New Opportunities In Research And Innovation
2023/09/22  00:00:00,"Q&A: Suu Kyi Adviser Reflects on Prison Term, Myanmar's Struggle for Democracy"
2023/09/22  00:00:00,IndiGo Enters Into Codeshare Partnership With British Airways
2023/09/22  00:00:00,"Trump says he advocated for autoworkers, union leaders disagree"
2023/09/22  00:00:00,City stalls in its attempt to close Vancouver hookah lounges
2023/09/22  00:00:00,City stalls in its attempt to close Vancouver hookah lounges
2023/09/22  00:00:00,Protests about LGBTQ2 policies in schools sparking Alberta policy debate
2023/09/22  00:00:00,"After tense protests over gender identity, Quebec premier appeals for calm"
2023/09/22  00:00:00,Indonesia deports 153 Chinese nationals who made US$1.3 million from love scams
2023/09/22  00:00:00,Indonesia deports 153 Chinese nationals who made US$1.3 million from love scams
2023/09/22  00:00:00,Hazard reduction burns continue to ramp up across Mountains
2023/09/22  00:00:00,"Kids exposed to crime and drug use at downtown Montreal daycare near homeless shelter, say parents"
2023/09/22  00:00:00,"Collins, King announce $300,000 to Maine DHHS"
2023/09/22  00:00:00,'I don't know when we'll go': Travel plans upended amid fraying Canada-India ties
2023/09/22  00:00:00,"After tense protests over gender identity, Quebec premier appeals for calm"
2023/09/22  00:00:00,He was investigated for sexting a student at the Coast Guard Academy. Hes now a college president.
2023/09/22  00:00:00,"Penn Hillel vandalized by person experiencing a crisis, say police"
2023/09/22  00:00:00,Is SLC Punk Still Rocking After 25 Years?
2023/09/22  00:00:00,"Jeannie Mai Still 'Deeply Loves' Estranged Husband Jeezy, Wants To Remain A 'United Family'"
2023/09/22  00:00:00,"Bus carrying high school students to northeast Pa. band camp crashes, killing 2"
2023/09/22  00:00:00,Laurel Judd takes supreme title again in 2023 Henty Natural Fibre Fashion Awards
2023/09/22  00:00:00,"Penn Hillel vandalized by person experiencing a crisis, say police"
2023/09/22  00:00:00,Hobart's Dark Mofo festival cancelled for 2024 to allow for 'period of renewal' amid 'rising costs'
2023/09/22  00:00:00,Protests about LGBTQ2 policies in schools sparking Alberta policy debate
2023/09/22  00:00:00,Faw Port And Development Road: US-China Rivalry Comes To The Middle East  Analysis
2023/09/22  00:00:00,Ministry to gather input for price guidelines
2023/09/22  00:00:00,Ministry to gather input for price guidelines
2023/09/22  00:00:00,"B.C sheriff shortage leads to delays, cancellations of dozens of court hearings"
2023/09/22  00:00:00,Australian delegation visits DC to push for Assanges release
2023/09/22  00:00:00,IndiGo Enters Into Codeshare Partnership With British Airways
2023/09/22  00:00:00,Marjory Stoneman Douglas High School building to be demolished next summer
2023/09/22  00:00:00,Kyiv says Russia has hit Ukrainian energy facilities in its biggest attack in weeks
2023/09/22  00:00:00,"COVID-19 lawsuit too broad, paints all Quebec care homes with same brush: lawyer"
2023/09/22  00:00:00,Victim says he's being blackmailed after reporting public official for contractor fraud
2023/09/22  00:00:00,"Bus carrying high school students to northeast Pa. band camp crashes, killing 2"
2023/09/22  00:00:00,Bronx daycare fentanyl death: Drugs hidden under trap door where baby died of overdose
2023/09/22  00:00:00,"Ankita Bhandari Murder Case: In Dehradun, Cong Mahila Morcha State Chief Gets Her Head Shaved in Protest"
2023/09/22  00:00:00,"Florida families say school vouchers are unpaid, causing major disruption"
2023/09/22  00:00:00,"KC-135 tanker autopilot now safer to use in flight, Air Force says"
2023/09/22  00:00:00,Taking a trip this fall? Here are some terrific things to do in popular spots around the world
